idiom,pinyin,explanation,originate,example,pyorder,frequency
以身作则,yǐ  shēn  zuò  zé,则：准则，榜样。以自己的行动做出榜样。,,这其间不顾一切阻碍～做一个开路先锋的便是许倩如。（巴金《家》二十五）,yszz,10717
潜移默化,qián  yí  mò  huà,潜：暗中同，不见形迹；默：不说话，没有声音。指人的思想或性格不知不觉受到感染、影响而发生了变化。,北齐·颜之推《颜氏家训·慕贤》：“潜移暗化，自然似之。”,民众文学当有一种“～”之功，以纯正的博大的趣味，替代旧有读物、戏剧等底不洁的、褊狭的趣味。（朱自清《民众文学的讨论》）,qymh,10707
风口浪尖,fēng  kǒu  làng  jiān,比喻激烈、尖锐的社会斗争前哨。,,,fklj,10663
有条不紊,yǒu  tiáo  bù  wěn,紊：乱。形容有条有理，一点不乱。,《尚书·盘庚上》：“若网在纲，有条而不紊。”,听上去倒也是原原本本，～。（清·李宝嘉《官场现形记》第五十六回）,ytbw,10326
发扬光大,fā  yáng  guāng  dà,发扬：发展，提倡；光大：辉煌而盛大。使好的作风、传统等得到发展和提高。,,最合理的孝道恐怕是继承父辈的成就，把它～，好教下一辈得到更好的精神的与物质的遗产。（老舍《四世同堂》六十四）,fygd,10276
旗帜鲜明,qí  zhì  xiān  míng,比喻立场、观点、态度等十分明确。,,,qzxm,10236
万无一失,wàn  wú  yī  shī,失：差错。指非常有把握，绝对不会出差错。,《史记·淮队侯列传》：“以此参之，万不失一。”汉·枚乘《七发》：“孔老览观，孟子持筹而算之，万不失一。”,郑成功安慰她，只要仙霞岭守得住，延平～！（华而实《汉衣冠》二）,wwys,10222
一视同仁,yī  shì  tóng  rén,原指圣人对百姓一样看待，同施仁爱。后多表示对人同样看待，不分厚薄。,唐·韩愈《原人》：“是故圣人一视同仁，笃近而举远。”,警察却不怕自行车，更不怕洋车和三轮儿。他们对洋车和三轮儿倒是～，一个不顺眼就拳脚一齐来。（朱自清《回来杂记》）,ystr,10136
相辅相成,xiāng  fǔ  xiāng  chéng,辅：辅助。指两件事物互相配合，互相辅助，缺一不可。,,学习和复习，是用以掌握知识和巩固知识的两个方面，～，缺一不可。,xfxc,10077
耳目一新,ěr  mù  yī  xīn,耳目：指见闻。听到的、看到的跟以前完全不同，使人感到新鲜。,,如今一上船，便觉得另是一番风味，～。（清·文康《儿女英雄传》第二十二回）,emyx,9971
淋漓尽致,lín  lí  jìn  zhì,形容文章或说话表达得非常充分、透彻，或非常痛快。,明·李清《三垣笔记·崇祯补遗》：“（刘若愚）著《酌中志略》叙次大内规制井井，而所纪客氏、魏忠贤骄横状，亦淋漓尽致，其为史家必采无疑。”,鲁迅以笔做刀枪，～地揭露了辛亥革命的弊端。,lljz,9971
不了了之,bù  liǎo  liǎo  zhī,了：了结，结束。用不了结的办法去了结。指把事情放在一边不管，就算完事。,宋·叶少蕴《避暑录话》卷上：“唐人言冬烘是不了了之语，故有‘主司头脑太冬烘，错认颜标是鲁公’之言。人以为戏谈。”,刚才的争论就这样～。（叶圣陶《小病》）,bllz,9877
热火朝天,rè  huǒ  cháo  tiān,形容群众性的活动情绪热烈，气氛高涨，就象炽热的火焰照天燃烧一样。,,但这几天～的参军运动，也冲击着他们的身心。（冯德英《迎春花》第九章）,rhct,9846
有目共睹,yǒu  mù  gòng  dǔ,睹：看见。指非常明显，谁都看得见。,,近年来，我国在经济领域所取得的成就是～的。,ymgd,9788
久而久之,jiǔ  ér  jiǔ  zhī,经过了相当长的时间。,,,jejz,9768
视而不见,shì  ér  bù  jiàn,指不注意，不重视，睁着眼却没看见。也指不理睬，看见了当作没看见。,《礼记·大学》：“心不在焉，视而不见，听而不闻，食而不知其味。”,,sebj,9757
自强不息,zì  qiáng  bù  xī,自强：自己努力向上；息：停止。自觉地努力向上，永不松懈。,《周易·乾》：“天行健，君子以自强不息。”,一个国家要想强盛，必须要有～的精神。,zqbx,9753
继往开来,jì  wǎng  kāi  lái,继承前人的事业，开辟未来的道路。,明·王守仁《传习录·三》：“文公（韩愈）精神气魄大，是他早年合下便要继往开来 。”清·李宝嘉《官场现形记》第一回：“将来昌明圣教，继往开来，舍我其谁？”,将来昌明圣教，～，舍我其谁？（清·李宝嘉《官场现形记》第一回）,jwkl,9625
赞不绝口,zàn  bù  jué  kǒu,不住口地称赞。,清·曹雪芹《红楼梦》第六十四回：“宝玉看了，赞不绝口。”,他常常在我面前把秋桐的文章捧上了天，～。（邹韬奋《经历·新闻记者的作品》）,zbjk,9602
义不容辞,yì  bù  róng  cí,容：允许；辞：推托。道义上不允许推辞。,明·冯梦龙《醒世恒言》卷十七：“承姑丈高谊，小婿义不容辞。”,我们应该～地担当起这个任务。,ybrc,9525
未雨绸缪,wèi  yǔ  chóu  móu,绸缪：紧密缠缚。天还没有下雨，先把门窗绑牢。比喻事先做好准备工作。,《诗经·豳风·鸱号》：“迨天之未阴雨，彻彼桑土，绸缪牖户。”,那是不关我教习的事，在乎你们自己～的。（清·无名氏《官场维新记》第四回）,wycm,9508
一举一动,yī  jǔ  yī  dòng,指人的每一个动作。,清·李汝珍《镜花缘》第七十四回：“可见古人一举一动，莫不令人归于正道，就是游戏之中，也都寓著劝世之意。”,她的～都象个多年的媳妇，麻利，老到，还带着点自得的劲儿。（老舍《骆驼祥子》十五）,yjyd,9506
绳之以法,shéng  zhī  yǐ  fǎ,根据法律制裁。,《后汉书·冯衍传》：“以文帝之明，而魏尚之忠，绳之以法则为罪，施之以德则为功。”,对于那些目无法纪的人，必须～，才能维护社会的正常秩序。,szyf,9496
尽如人意,jìn  rú  rén  yì,尽：人；如：依照，符合。事情完全符合人的心意。,宋·刘克庄《后村全集·李艮翁礼部墓志铭》：“然议者但以为恩泽侯挟贵临民，安得尽如人意。”,他稍稍感到天下事不能～了。（矛盾《子夜》十）,jrry,9435
对症下药,duì  zhèng  xià  yào,针对病症用药。比喻针对事物的问题所在，采取有效的措施。,《三国志·魏志·华陀传》：“府吏倪寻、李延共止，俱头痛身热，所苦正同。佗曰：‘寻当下之，延当发汗。’或难其异，佗曰：‘寻外实，延内实，故治之宜殊。’即各与药，明旦并起。”,他也许要借这原始的集体的力给后代的散漫和萎靡来个～吧。（朱自清《闻一多先生怎样走着中国文学的道路》）,dzxy,9363
四面八方,sì  miàn  bā  fāng,指各个方面或各个地方。,宋·释道原《景德传灯录》卷二十：“忽遇四面八方怎么生？”,,smbf,9346
首当其冲,shǒu  dāng  qí  chōng,当：承当，承受；冲：要冲，交通要道。比喻最先受到攻击或遭到灾难。,《汉书·五行志下》：“郑当其冲，不能修德。”,高家是北门一带的首富，不免要～，所以还是早早避开的好。（巴金《家》二十二）,sdqc,9337
马不停蹄,mǎ  bù  tíng  tí,比喻不停顿地向前走。,元·王实甫《丽春堂》第二折：“赢的他急难措手，打的他马不停蹄。”,～的走至天色大明，看看追兵已远，方始勒住马。（清·吴趼人《痛史》第三回）,mbtt,9283
不以为然,bù  yǐ  wéi  rán,然：是，对。不认为是对的。表示不同意或否定。,宋·苏轼《再乞罢详定役法状》：“右臣先曾奏论前衙一役，只当招募，不当定差，执政不以为然。”,听他说洋人不是，口虽不言，心下却老大～。（清·李宝嘉《官场现形记》）,bywr,9266
必由之路,bì  yóu  zhī  lù,由：经由。必定要经过的道路。泛指事物必须遵循的规律或做事必须遵守的法则。,《孟子·告子上》：“仁，人心也；义，人路也。”宋·朱熹注：“义者行事之宜，谓人之路，则可以见其为出入往来必由之路，而不可须臾舍矣。”,那山离此有六十里远，正是西方～，却有八百里火焰，四周围寸草不生。（明·吴承恩《西游记》第五十九回）,byzl,9255
所作所为,suǒ  zuò  suǒ  wéi,指人所做的事。,清·曹雪芹《红楼梦》第十六回：“自此凤姐胆识愈壮，以后所作所为，诸如此类，不可胜数。”,,szsw,9240
一蹴而就,yī  cù  ér  jiù,蹴：踏；就：成功。踏一步就成功。比喻事情轻而易举，一下子就成功。,宋·苏洵《上田枢密书》：“天下之学者，孰不欲一蹴而造圣人之域。”,从前所受，皆为大略，～于繁赜，毋乃不可！（清·吴趼人《痛史·原叙》）,ycej,9223
身体力行,shēn  tǐ  lì  xíng,身：亲身；体：体验。亲身体验，努力实行。,《淮南子·氾论训》：“圣人以身体之。”《礼记·中庸》： “力行近乎仁。”,先生以致知格物为基阯（址），以～为堂奥。（清·张惠言《承拙斋空传》）,stlx,9193
精益求精,jīng  yì  qiú  jīng,精：完美，好；益：更加。好了还求更好。,《论语·学而》：“《诗》云：‘如切如磋，如琢如磨。’其斯之谓与？”宋·朱熹注：“言治骨角者，既切之而复磋之；治玉石者，既琢之而复磨之，治之已精，而益求其精也。”,白求恩同志是个医生，他以医疗为职业，对技术～；在整个八路军医务系统中，他的医术是很高明的。（毛泽东《纪念白求恩》）,jyqj,9158
竭尽全力,jié  jìn  quán  lì,用尽全部力量。,《三国志·魏志·贾逵传》裴松之注引《魏略》：“竭尽心力，奉宣科法。”,,jjql,9085
拭目以待,shì  mù  yǐ  dài,拭：擦；待：等待。擦亮眼睛等着瞧。形容期望很迫切。也表示确信某件事情一定会出现。,汉·杨修《答临淄侯笺》：“观者骇视而拭目，听者倾首而竦耳。”,,smyd,9051
无家可归,wú　jiā　kě　guī,没有家可回。指流离失所。,明·凌濛初《初刻拍案惊奇》卷二十二：“寺僧见了他无了根蒂，渐渐怠慢，不肯相留。要回故乡，已此无家可归。”,,wjkg,9045
哭笑不得,kū  xiào  bù  dé,哭也不好，笑也不好。形容很尴尬。,元·高安得《皮匠说谎》：“好一场恶一场，哭不得笑不得。”,否则咬着了辣椒，～的时候，我不能负责。（鲁迅《伪自由书·止哭文学》）,kxbd,8991
铺张浪费,pū  zhāng  làng  fèi,铺张：讲究排场。为了场面好看而浪费人力物力。,,我们要提倡艰苦奋斗，反对～。,pzlf,8980
不知所措,bù  zhī  suǒ  cuò,措：安置，处理。不知道怎么办才好。形容处境为难或心神慌乱。,《论语·子路》：“则民无所措手足。”《三国志·吴书·诸葛恪传》：“哀喜交并，不知所措。”,程仁呆了，这个意外的遇见，使他一时～。（丁玲《太阳照在桑干河上》五五）,bzsc,8956
座无虚席,zuò  wú  xū  xí,虚：空。座位没有空着的。形容出席的人很多。,《晋书·王浑传》：“时吴人新附，颇怀畏惧。浑抚循羁旅，虚怀绥纳，座无空席，门不停宾，于是江东之士莫不悦附。”,,zwxx,8908
可乘之机,kě  chéng  zhī  jī,可以利用的时机。,宋·晁补之《鸡肋集》：“当是时，皆有可乘之隙，而中国不可取。”,按宋南渡后亦未尝无～。（清·赵翼《二十四史札记·卷二十六·和议》）,kczj,8891
琳琅满目,lín  láng  mǎn  mù,琳琅：精美的玉石。满眼都是珍贵的东西。形容美好的事物很多。,南朝宋·刘义庆《世说新语·容止》：“今日之行，触目见琳琅珠玉。”,这些寿礼陈列在坤宁宫的东西庑中，～。（姚雪垠《李自成》第二卷第三十一章）,llmm,8857
卷土重来,juǎn  tǔ  chóng  lái,比喻失败之后，重新恢复势力。,唐·杜牧《题乌江亭》诗：“江东子弟多才俊，卷土重来未可知。”,他们要挣扎，他们要变天，他们要～。（曲波《林海雪原》一）,jtcl,8835
铺天盖地,pū  tiān  gài  dì,一下子到处都是。形容来势很猛。,,洪水霎时～而来，冲倒了树木和房屋。,ptgd,8799
